32,-25,67,701
32,-25,63,702
32,-25,60,689
32,-25,57,692
32,-25,61,688
32,-25,65,668
32,-25,89,630
32,-25,63,586
32,-25,62,550
32,-25,80,485
32,-25,79,422
32,-14,94,329
32,-4,93,277
32,13,143,249
32,23,185,242
12,35,234,125
-9,35,279,60
-16,35,336,77
-14,35,331,89
4,35,279,131
23,35,224,171
32,27,163,200
32,8,120,250
32,-1,114,287
32,1,115,278
32,8,115,242
32,11,121,236
32,21,128,193
32,24,114,168
26,35,168,129
17,35,205,124
14,35,190,90
20,35,124,59
22,35,124,67
32,34,60,62
21,35,156,94
32,32,109,122
32,26,109,149
32,7,83,218
32,19,126,203
32,8,67,196
32,16,56,148
32,19,70,144
32,35,129,122
27,35,130,94
11,35,190,73
12,35,166,58
20,35,149,81
21,35,125,63
32,35,65,60
32,25,55,104
32,22,50,109
32,21,50,115
32,14,55,152
32,13,53,157
32,12,51,158
32,8,57,187
32,11,59,171
32,28,108,141
32,35,140,137
21,35,157,96
17,35,164,81
13,35,161,54
29,35,72,48
32,35,55,47
32,35,51,48
32,35,48,49
32,35,46,44
32,35,46,44
32,35,49,45
32,35,48,44
32,35,49,45
32,35,48,49
32,34,46,52
32,32,45,58
32,31,44,62
32,24,46,99
32,16,45,136
32,14,47,144
32,21,46,114
32,11,46,162
32,21,46,111
32,21,46,110
32,26,48,89
32,22,48,107
32,28,48,82
32,32,47,60
32,22,49,110
32,15,47,143
32,19,46,123
32,10,46,166
32,9,45,167
32,12,45,156
32,19,45,120
32,26,46,89
32,30,46,67
32,32,50,62
32,34,50,52
32,33,51,58
32,33,48,56
32,34,49,51
32,34,48,50
32,32,47,59
32,27,47,86
32,33,46,53
32,32,47,61
32,31,47,64
32,33,49,59
32,32,48,64
32,29,49,75
32,26,48,89
32,34,49,53
32,35,52,52
32,34,53,55
32,28,54,85
32,24,60,112
32,25,78,123
32,18,54,134
32,17,57,141
32,23,59,117
32,30,63,84
29,35,93,68
25,35,108,65
18,35,142,66
24,35,140,94
28,35,120,93
32,30,86,107
22,35,177,118
19,35,172,100
19,35,183,112
27,35,172,139
32,35,171,171
32,31,144,163
32,35,144,144
32,26,111,152
32,30,91,113
27,35,122,86
32,31,107,127
32,29,108,136
32,27,94,130
32,17,77,162
32,15,89,183
32,22,69,131
32,23,80,138
32,32,100,114
32,30,123,148
27,35,142,110
32,35,142,137
30,35,144,124
15,35,177,80
20,35,165,99
12,35,198,87
18,35,177,99
28,35,165,134
32,21,89,155
32,8,66,194
32,9,59,184
32,8,58,184
32,4,65,213
32,21,116,181
32,31,122,141
16,35,195,104
1,35,234,70
2,35,212,54
11,35,190,73
26,35,113,76
32,21,79,146
32,15,73,169
32,4,61,207
32,8,70,197
32,29,124,153
32,19,65,142
32,35,101,98
30,35,124,104
32,30,73,96
32,24,54,108
32,30,60,84
29,35,87,61
32,33,70,79
22,35,117,57
28,35,77,49
32,35,57,56
32,35,53,51
32,34,50,54
32,32,47,61
32,30,45,70
32,29,46,74
32,25,47,94
32,28,46,80
32,33,46,56
32,33,45,52
32,33,45,55
32,33,44,53
32,31,44,61
32,32,45,58
32,30,44,69
32,24,44,98
32,30,45,70
32,29,46,75
32,14,46,143
32,25,48,96
32,22,44,105
32,29,44,70
32,19,45,122
32,23,44,101
32,31,44,64
32,30,44,67
32,22,45,106
32,18,45,127
32,25,46,91
32,31,46,63
32,19,47,124
32,29,47,73
32,22,47,106
32,15,48,144
32,9,47,170
32,8,45,174
32,13,47,149
32,29,46,76
32,4,48,196
32,33,50,57
32,34,54,57
32,35,56,53
30,35,69,49
32,35,61,51
28,35,81,50
32,35,59,47
26,35,86,48
30,35,67,49
32,35,56,53
32,35,50,51
32,34,53,56
32,35,60,60
31,35,70,55
32,34,63,67
32,23,85,143
32,32,113,126
32,31,106,123
32,19,61,135
32,22,57,119
32,21,51,115
32,28,63,96
32,35,90,90
32,34,96,98
31,35,138,122
32,34,136,138
32,23,130,187
32,21,88,155
32,32,113,127
28,35,148,121
16,35,173,84
11,35,185,68
14,35,183,82
32,28,100,135
32,27,111,148
32,20,73,143
32,17,74,157
32,21,58,126
32,32,66,80
32,28,59,90
32,24,68,121
32,32,81,95
25,35,122,79
26,35,95,54
21,35,112,51
28,35,85,57
26,35,91,51
28,35,82,51
32,35,95,83
32,35,107,103
32,33,133,142
32,35,139,129
32,35,153,151
32,29,121,149
32,21,93,161
32,12,67,177
32,14,66,167
32,13,67,173
32,13,68,172
27,35,106,71
32,32,92,106
17,35,140,59
17,35,136,56
20,35,128,59
28,35,117,87
32,25,65,111
32,14,79,176
32,18,53,134
32,21,58,122
32,29,54,83
32,29,73,99
32,30,58,83
32,32,55,71
32,33,50,57
32,28,49,83
32,31,50,70
32,33,50,60
32,34,53,56
32,33,53,61
32,32,55,68
32,27,51,90
32,26,48,88
32,33,46,56
32,24,46,97
32,28,45,77
32,31,45,64
32,25,46,93
32,24,45,99
32,22,47,107
32,28,46,81
32,33,48,56
32,34,49,53
32,35,52,52
32,35,50,47
32,35,51,47
32,34,49,51
32,34,47,51
32,33,48,56
32,33,46,57
32,33,47,58
32,32,47,59
32,21,46,111
32,30,45,67
32,33,47,54
32,34,50,54
32,35,52,49
32,35,51,52
32,29,50,76
32,19,48,124
32,23,48,104
32,26,46,86
32,31,47,64
32,26,49,92
32,29,50,77
32,32,48,64
32,27,49,88
32,21,51,118
32,18,49,129
32,27,48,86
32,32,49,62
32,34,51,56
32,35,51,52
32,35,55,52
31,35,65,48
29,35,73,47
32,35,62,51
32,35,56,55
32,26,64,107
32,23,57,113
32,34,52,58
32,34,52,57
32,35,56,53
32,33,60,71
32,27,54,90
32,16,71,161
32,23,84,140
32,30,96,119
32,27,80,117
32,33,109,119
29,35,130,106
32,35,107,98
32,23,84,141
32,29,109,137
32,28,92,125
32,35,122,117
19,35,149,77
12,35,174,65
8,35,183,56
18,35,134,56
16,35,145,57
32,35,110,100
32,25,61,110
32,4,55,200
32,7,52,186
32,12,56,163
32,11,56,170
32,23,136,192
32,33,122,133
32,34,152,154
27,35,185,149
32,35,145,135
32,32,127,140
32,26,106,146
32,35,142,138
31,35,151,135
32,34,133,136
32,26,85,128
32,23,74,130
32,29,86,116
32,30,97,118
32,33,115,122
32,34,102,104
32,14,82,182
32,22,104,163
32,25,115,161
32,26,125,166
32,31,125,145
32,22,117,180
32,25,125,173
32,18,101,183
32,14,114,215
32,29,144,172
31,35,144,128
24,35,123,76
28,35,143,112
32,31,101,120
32,20,90,163
32,10,68,186
32,3,56,206
32,9,52,177
32,10,49,168
32,21,49,114
32,24,52,106
32,29,58,85
32,35,64,64
32,35,94,84
30,35,105,87
29,35,111,85
32,33,67,77
32,25,62,109
32,28,58,89
32,33,51,59
32,33,49,59
32,28,47,82
32,32,46,60
32,33,45,55
32,30,44,65
32,29,44,71
32,32,44,60
32,33,44,55
32,32,44,56
32,32,44,60
32,22,45,104
32,21,47,115
32,29,47,73
32,33,49,56
32,31,48,68
32,33,48,57
32,32,47,61
32,33,47,54
32,25,48,95
32,18,48,129
32,11,49,162
32,13,48,151
32,14,49,149
32,13,49,152
32,14,49,146
32,20,49,121
32,20,49,118
32,22,53,114
32,26,54,96
32,33,54,64
32,28,49,82
32,28,50,85
32,23,49,107
32,29,46,76
32,27,48,87
32,27,52,88
32,30,56,79
32,29,59,86
32,33,52,59
32,29,56,85
32,23,59,116
32,31,94,111
32,31,111,128
32,26,116,160
32,32,124,137
32,19,68,143
32,19,78,155
32,15,55,148
32,21,56,120
32,31,56,75
32,33,68,76
29,35,78,53
25,35,120,78
32,33,82,91
32,32,61,73
32,20,53,122
32,21,52,118
32,28,53,85
32,21,56,122
32,34,86,89
32,34,104,106
32,35,116,111
32,28,128,160
32,26,118,160
32,24,120,171
32,30,125,149
32,25,121,169
32,29,113,143
32,31,97,117
32,19,87,163
32,28,113,145
32,16,86,178
32,20,79,150
32,24,82,135
32,15,68,161
32,26,69,109
32,33,100,110
27,35,114,82
22,35,151,94
32,28,136,168
32,26,110,151
32,22,116,178
32,12,79,186
32,14,69,167
32,15,94,188
32,17,63,149
32,14,73,170
32,19,66,140
32,31,82,102
32,31,69,86
32,35,68,69
32,29,60,88
32,29,52,79
32,21,52,120
32,15,54,148
32,18,59,138
32,13,58,160
32,11,74,189
32,4,67,216
32,17,64,148
32,20,74,145
32,34,100,103
18,35,128,53
20,35,126,61
28,35,100,71
32,21,65,130
32,8,55,181
32,6,55,194
32,-5,54,242
32,11,56,168
32,26,80,123
29,35,116,91
27,35,97,65
27,35,104,72
32,35,83,80
32,31,75,94
32,17,76,160
32,8,63,191
32,16,54,146
32,12,55,165
32,18,53,135
32,23,52,110
32,24,51,101
32,29,52,78
32,35,54,54
32,35,55,54
32,33,51,58
32,22,50,113
32,19,48,123
32,27,47,85
32,33,46,57
32,29,44,71
32,27,45,81
32,28,44,76
32,18,45,123
32,18,46,126
32,16,44,134
32,19,45,120
32,22,45,105
32,26,45,87
32,23,45,103
32,21,47,115
32,17,48,131
32,17,48,132
32,16,48,136
32,6,48,186
32,-3,48,228
32,6,48,184
32,0,47,212
32,13,48,153
32,12,51,159
32,19,53,130
